zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
0.6, 1, 2047, 10, 16, 20471, 100000000, 2758520, 97241480, 2, 0.25229, 0.05315, 4.21256, 1.26, 4.46485, 13.33249, 23738560
0.6, 16, 2032, 10, 16, 20336, 100000000, 2771600, 97228400, 2, 0.20812, 0.05752, 3.12138, 1.84, 3.32950, 12.10222, 32037114
0.6, 64, 1984, 10, 16, 19904, 100000000, 2815860, 97184140, 2, 0.14179, 0.06236, 1.78610, 3.49, 1.92789, 10.72627, 55987940
0.6, 256, 1792, 10, 16, 18176, 100000000, 3017800, 96982200, 3, 0.11035, 0.06437, 0.86873, 7.41, 0.97908, 9.78436, 115111088
0.6, 512, 1536, 10, 16, 15872, 100000000, 3343100, 96656900, 3, 0.11021, 0.08344, 0.61204, 13.63, 0.72225, 9.45708, 163386944
0.6, 1024, 1024, 10, 16, 11264, 100000000, 4292340, 95707660, 4, 0.12404, 0.11107, 0.46851, 23.71, 0.59254, 9.38281, 213443536
0.6, 1536, 512, 10, 16, 6656, 100000000, 6045140, 93954860, 6, 0.13531, 0.16988, 0.45072, 37.69, 0.58603, 9.34083, 221867232
0.6, 2047, 1, 10, 16, 2057, 100000000, 11556120, 88443880, 11, 0.09806, 0.38777, 0.60304, 64.30, 0.70111, 9.38730, 165825376
0.6, 1, 2047, 10, 32, 20471, 100000000, 4579900, 95420100, 4, 0.19998, 0.06911, 3.07241, 2.25, 3.27238, 12.10552, 32547792
0.6, 16, 2032, 10, 32, 20336, 100000000, 4599640, 95400360, 4, 0.17468, 0.06899, 2.47312, 2.79, 2.64779, 11.43257, 40434772
0.6, 64, 1984, 10, 32, 19904, 100000000, 4662980, 95337020, 4, 0.13221, 0.07355, 1.59035, 4.62, 1.72256, 10.50564, 62879320
0.6, 256, 1792, 10, 32, 18176, 100000000, 4950840, 95049160, 4, 0.08957, 0.08291, 0.84345, 9.83, 0.93302, 9.73924, 118560816
0.6, 512, 1536, 10, 32, 15872, 100000000, 5420640, 94579360, 5, 0.07382, 0.09782, 0.60434, 16.19, 0.67816, 9.55223, 165468672
0.6, 1024, 1024, 10, 32, 11264, 100000000, 6685240, 93314760, 6, 0.06204, 0.12210, 0.46586, 26.21, 0.52790, 9.31975, 214654464
0.6, 1536, 512, 10, 32, 6656, 100000000, 8989820, 91010180, 8, 0.13681, 0.19420, 0.44967, 43.19, 0.58649, 9.43303, 222383328
0.6, 2047, 1, 10, 32, 2057, 100000000, 16202280, 83797720, 16, 0.07284, 0.41974, 0.59727, 70.28, 0.67011, 9.33002, 167429024
0.6, 1, 2047, 10, 64, 20471, 100000000, 7071860, 92928140, 7, 0.14396, 0.12113, 1.99991, 6.06, 2.14387, 10.96722, 50002180
0.6, 16, 2032, 10, 64, 20336, 100000000, 7097720, 92902280, 7, 0.13932, 0.12002, 1.75606, 6.83, 1.89538, 10.61968, 56945760
0.6, 64, 1984, 10, 64, 19904, 100000000, 7184780, 92815220, 7, 0.11466, 0.12102, 1.33692, 9.05, 1.45158, 10.36291, 74798848
0.6, 256, 1792, 10, 64, 18176, 100000000, 7568860, 92431140, 7, 0.08723, 0.11730, 0.78627, 14.92, 0.87350, 9.59820, 127183088
0.6, 512, 1536, 10, 64, 15872, 100000000, 8164740, 91835260, 8, 0.06952, 0.12853, 0.58271, 22.06, 0.65223, 9.42081, 171612832
0.6, 1024, 1024, 10, 64, 11264, 100000000, 9824760, 90175240, 9, 0.11817, 0.15315, 0.45739, 33.48, 0.57556, 9.39348, 218630368
0.6, 1536, 512, 10, 64, 6656, 100000000, 12848500, 87151500, 12, 0.14634, 0.20412, 0.44278, 46.10, 0.58912, 9.31536, 225845280
0.6, 2047, 1, 10, 64, 2057, 100000000, 22253540, 77746460, 22, 0.19656, 0.53017, 0.62054, 85.44, 0.81710, 9.49094, 161149712
0.6, 1, 2047, 10, 256, 20471, 100000000, 14601860, 85398140, 14, 0.07932, 0.37673, 0.85929, 43.84, 0.93860, 9.73935, 116375416
0.6, 16, 2032, 10, 256, 20336, 100000000, 14646160, 85353840, 14, 0.07309, 0.26606, 0.82440, 32.27, 0.89749, 9.78567, 121300496
0.6, 64, 1984, 10, 256, 19904, 100000000, 14798360, 85201640, 14, 0.07497, 0.24099, 0.75503, 31.92, 0.83000, 9.54344, 132445064
0.6, 256, 1792, 10, 256, 18176, 100000000, 15456300, 84543700, 15, 0.07019, 0.32225, 0.58074, 55.49, 0.65093, 9.63261, 172193808
0.6, 512, 1536, 10, 256, 15872, 100000000, 16481000, 83519000, 16, 0.06285, 0.23431, 0.47939, 48.88, 0.54225, 9.40648, 208596672
0.6, 1024, 1024, 10, 256, 11264, 100000000, 19320280, 80679720, 19, 0.11316, 0.29813, 0.40507, 73.60, 0.51823, 9.34047, 246869712
0.6, 1536, 512, 10, 256, 6656, 100000000, 24433060, 75566940, 24, 0.11672, 0.32493, 0.41254, 78.76, 0.52926, 9.30616, 242402496
0.6, 2047, 1, 10, 256, 2057, 100000000, 39604120, 60395880, 39, 0.06053, 0.53539, 0.55963, 95.67, 0.62016, 9.19791, 178688848
0.6, 1, 2047, 10, 512, 20471, 100000000, 20180260, 79819740, 20, 0.05883, 0.34224, 0.55415, 61.76, 0.61298, 9.39756, 180457536
0.6, 16, 2032, 10, 512, 20336, 100000000, 20240060, 79759940, 20, 0.06190, 0.44810, 0.54111, 82.81, 0.60301, 9.29427, 184807008
0.6, 64, 1984, 10, 512, 19904, 100000000, 20439060, 79560940, 20, 0.05932, 0.45950, 0.51828, 88.66, 0.57760, 9.24575, 192946288
0.6, 256, 1792, 10, 512, 18176, 100000000, 21293040, 78706960, 21, 0.06052, 0.34680, 0.44996, 77.07, 0.51048, 9.24957, 222243440
0.6, 512, 1536, 10, 512, 15872, 100000000, 22613360, 77386640, 22, 0.05686, 0.40807, 0.41537, 98.24, 0.47224, 9.25617, 240746880
0.6, 1024, 1024, 10, 512, 11264, 100000000, 26264580, 73735420, 26, 0.10910, 0.45260, 0.45457, 99.57, 0.56367, 9.30129, 219988128
0.6, 1536, 512, 10, 512, 6656, 100000000, 32731480, 67268520, 32, 0.12222, 0.49187, 0.49351, 99.67, 0.61573, 9.36932, 202630128
0.6, 2047, 1, 10, 512, 2057, 100000000, 50964280, 49035720, 50, 0.05613, 0.54807, 0.54945, 99.75, 0.60558, 9.26082, 182001168
0.6, 1, 2047, 10, 1024, 20471, 100000000, 27357180, 72642820, 27, 0.04519, 0.57006, 0.57183, 99.69, 0.61702, 9.37081, 174875920
0.6, 16, 2032, 10, 1024, 20336, 100000000, 27432700, 72567300, 27, 0.04610, 0.55995, 0.56168, 99.69, 0.60778, 9.29276, 178036992
