zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
1.2, 1, 2047, 10, 16, 20471, 100000000, 27996480, 72003520, 27, 1.31310, 0.43784, 33.35791, 1.31, 34.67101, 43.42706, 2997790
1.2, 16, 2032, 10, 16, 20336, 100000000, 28099780, 71900220, 28, 0.78767, 0.39267, 17.46382, 2.25, 18.25148, 26.95462, 5726125
1.2, 64, 1984, 10, 16, 19904, 100000000, 28435580, 71564420, 28, 0.31413, 0.43649, 5.80836, 7.51, 6.12249, 14.88302, 17216570
1.2, 256, 1792, 10, 16, 18176, 100000000, 29947160, 70052840, 29, 0.26812, 0.51824, 1.20325, 43.07, 1.47137, 10.23041, 83107976
1.2, 512, 1536, 10, 16, 15872, 100000000, 32310500, 67689500, 32, 0.25792, 0.60489, 0.60665, 99.71, 0.86458, 9.49058, 164838608
1.2, 1024, 1024, 10, 16, 11264, 100000000, 38269060, 61730940, 38, 0.33979, 0.78853, 0.79081, 99.71, 1.13060, 9.85919, 126451976
1.2, 1536, 512, 10, 16, 6656, 100000000, 46787460, 53212540, 46, 0.35023, 1.56967, 1.57196, 99.85, 1.92219, 10.60690, 63614688
1.2, 2047, 1, 10, 16, 2057, 100000000, 62622940, 37377060, 62, 0.17741, 5.45982, 5.46217, 99.96, 5.63958, 14.28007, 18307738
1.2, 1, 2047, 10, 32, 20471, 100000000, 39862100, 60137900, 39, 0.74178, 0.50027, 17.00162, 2.94, 17.74341, 26.51921, 5881792
1.2, 16, 2032, 10, 32, 20336, 100000000, 39961920, 60038080, 39, 0.52170, 0.51686, 11.35174, 4.55, 11.87345, 20.62051, 8809221
1.2, 64, 1984, 10, 32, 19904, 100000000, 40287880, 59712120, 40, 0.29035, 0.65052, 4.69049, 13.87, 4.98084, 13.66959, 21319756
1.2, 256, 1792, 10, 32, 18176, 100000000, 41750160, 58249840, 41, 0.16045, 0.75294, 1.10379, 68.21, 1.26424, 10.00669, 90597192
1.2, 512, 1536, 10, 32, 15872, 100000000, 44051000, 55949000, 44, 0.14170, 0.79836, 0.80017, 99.77, 0.94188, 9.65838, 124973136
1.2, 1024, 1024, 10, 32, 11264, 100000000, 49264000, 50736000, 49, 0.15790, 1.02351, 1.02558, 99.80, 1.18348, 9.86196, 97505808
1.2, 1536, 512, 10, 32, 6656, 100000000, 56601020, 43398980, 56, 0.22225, 1.71377, 1.71606, 99.87, 1.93831, 10.60095, 58272884
1.2, 2047, 1, 10, 32, 2057, 100000000, 70345140, 29654860, 70, 0.14890, 5.99708, 5.99944, 99.96, 6.14834, 14.78720, 16668213
1.2, 1, 2047, 10, 64, 20471, 100000000, 50651240, 49348760, 50, 0.36451, 0.77353, 7.62222, 10.15, 7.98673, 16.81235, 13119536
