zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
1.2, 1, 2047, 10, 16, 20471, 100000000, 27999156, 72000844, 27, 1.56511, 1.52245, 21.54398, 7.07, 23.10910, 37.78808, 4641668
1.2, 16, 2032, 10, 16, 20336, 100000000, 28101628, 71898372, 28, 1.61880, 1.49044, 10.15753, 14.67, 11.77633, 27.41633, 9844914
1.2, 64, 1984, 10, 16, 19904, 100000000, 28437786, 71562214, 28, 1.67678, 1.48613, 3.38804, 43.86, 5.06482, 20.21757, 29515554
1.2, 256, 1792, 10, 16, 18176, 100000000, 29950516, 70049484, 29, 2.03476, 1.82666, 1.82871, 99.89, 3.86347, 19.77459, 54683356
1.2, 512, 1536, 10, 16, 15872, 100000000, 32311020, 67688980, 32, 1.78030, 1.88576, 1.88794, 99.88, 3.66824, 18.23523, 52967844
1.2, 1024, 1024, 10, 16, 11264, 100000000, 38273038, 61726962, 38, 1.94633, 2.52462, 2.52710, 99.90, 4.47343, 20.04847, 39571028
1.2, 1536, 512, 10, 16, 6656, 100000000, 46778420, 53221580, 46, 1.83083, 4.56439, 4.56680, 99.95, 6.39763, 20.67352, 21897178
1.2, 2047, 1, 10, 16, 2057, 100000000, 62630938, 37369062, 62, 1.27707, 14.32661, 14.32889, 99.98, 15.60596, 30.31974, 6978906
1.2, 1, 2047, 10, 32, 20471, 100000000, 39865510, 60134490, 39, 0.88816, 2.51903, 10.08524, 24.98, 10.97340, 27.03088, 9915476
1.2, 16, 2032, 10, 32, 20336, 100000000, 39963968, 60036032, 39, 0.89164, 2.54356, 7.29111, 34.89, 8.18274, 23.12490, 13715335
