zipfian_const, num_dpus, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}, send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], total_time, throughput
0.99, 2048, 10, 0, 20480, 50000000, 0, 50000000, 0, 0.71315, 0.00022, 6.36027, 0.004, 7.07341, 7861307
0.99, 2048, 10, 1, 20480, 50000000, 99624, 49900376, 0, 0.73775, 0.01813, 6.36842, 0.285, 7.10617, 7851244
0.99, 2048, 10, 2, 20480, 50000000, 199400, 49800600, 0, 0.74563, 0.02809, 6.37392, 0.441, 7.11956, 7844461
0.99, 2048, 10, 4, 20480, 50000000, 399034, 49600966, 0, 0.78193, 0.03857, 6.36238, 0.606, 7.14431, 7858692
0.99, 2048, 10, 8, 20480, 50000000, 797494, 49202506, 1, 0.78426, 0.04196, 6.36505, 0.659, 7.14931, 7855404
0.99, 2048, 10, 16, 20480, 50000000, 1595032, 48404968, 3, 0.73269, 0.05577, 6.36281, 0.877, 7.09549, 7858168
0.99, 2048, 10, 32, 20480, 50000000, 3189636, 46810364, 6, 0.74118, 0.13927, 6.35722, 2.191, 7.09840, 7865074
0.99, 2048, 10, 64, 20480, 50000000, 6370112, 43629888, 12, 0.76626, 0.38423, 6.31545, 6.084, 7.08171, 7917096
0.99, 2048, 10, 128, 20480, 50000000, 10350534, 39649466, 20, 0.57345, 0.68653, 3.03269, 22.638, 3.60614, 16487013
0.99, 2048, 10, 256, 20480, 50000000, 15454176, 34545824, 30, 0.43964, 1.23629, 1.65660, 74.628, 2.09624, 30182302
0.99, 2048, 10, 512, 20480, 50000000, 20729904, 29270096, 41, 0.26136, 1.58439, 1.58502, 99.960, 1.84638, 31545422
0.99, 2048, 10, 1024, 20480, 50000000, 25940142, 24059858, 51, 0.15942, 1.77562, 1.77631, 99.961, 1.93573, 28148226
