zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
0, 1, 2047, 10, 16, 20471, 100000000, 126460, 99873540, 0, 0.03086, 0.02741, 0.16210, 16.91, 0.19296, 8.99848, 616891712
0, 16, 2032, 10, 16, 20336, 100000000, 126940, 99873060, 0, 0.03046, 0.02532, 0.16096, 15.73, 0.19142, 8.99907, 621272384
0, 64, 1984, 10, 16, 19904, 100000000, 128640, 99871360, 0, 0.05041, 0.01900, 0.16692, 11.38, 0.21733, 9.12535, 599082304
0, 256, 1792, 10, 16, 18176, 100000000, 136160, 99863840, 0, 0.03545, 0.01928, 0.18321, 10.53, 0.21866, 9.01444, 545824704
0, 512, 1536, 10, 16, 15872, 100000000, 148380, 99851620, 0, 0.03822, 0.02502, 0.21000, 11.91, 0.24821, 9.03859, 476199552
0, 1024, 1024, 10, 16, 11264, 100000000, 188580, 99811420, 0, 0.10315, 0.01585, 0.29166, 5.43, 0.39481, 9.26388, 342866144
0, 1536, 512, 10, 16, 6656, 100000000, 287840, 99712160, 0, 0.11873, 0.01745, 0.49561, 3.52, 0.61434, 9.43613, 201771552
0, 2047, 1, 10, 16, 2057, 100000000, 816660, 99183340, 0, 0.12577, 0.02451, 1.55935, 1.57, 1.68512, 10.37405, 64129280
0, 1, 2047, 10, 32, 20471, 100000000, 202720, 99797280, 0, 0.03086, 0.02560, 0.16169, 15.83, 0.19255, 8.93854, 618467456
0, 16, 2032, 10, 32, 20336, 100000000, 203940, 99796060, 0, 0.03035, 0.03348, 0.16403, 20.41, 0.19438, 8.97589, 609648320
0, 64, 1984, 10, 32, 19904, 100000000, 207340, 99792660, 0, 0.03193, 0.02981, 0.16524, 18.04, 0.19717, 9.00340, 605172992
0, 256, 1792, 10, 32, 18176, 100000000, 223080, 99776920, 0, 0.03629, 0.03876, 0.18332, 21.15, 0.21961, 9.08858, 545500160
0, 512, 1536, 10, 32, 15872, 100000000, 249180, 99750820, 0, 0.05697, 0.02438, 0.20796, 11.72, 0.26493, 9.01970, 480864032
0, 1024, 1024, 10, 32, 11264, 100000000, 330200, 99669800, 0, 0.09730, 0.03671, 0.29310, 12.53, 0.39041, 9.28619, 341178176
0, 1536, 512, 10, 32, 6656, 100000000, 527740, 99472260, 0, 0.12432, 0.03760, 0.49615, 7.58, 0.62047, 9.45884, 201553584
0, 2047, 1, 10, 32, 2057, 100000000, 1579580, 98420420, 1, 0.12446, 0.04067, 1.54266, 2.64, 1.66712, 10.40253, 64823180
0, 1, 2047, 10, 64, 20471, 100000000, 359560, 99640440, 0, 0.02997, 0.04302, 0.16246, 26.48, 0.19243, 8.92047, 615536128
0, 16, 2032, 10, 64, 20336, 100000000, 361660, 99638340, 0, 0.03155, 0.03932, 0.16077, 24.46, 0.19232, 8.99587, 622022080
0, 64, 1984, 10, 64, 19904, 100000000, 368260, 99631740, 0, 0.03153, 0.03721, 0.16627, 22.38, 0.19780, 9.01991, 601435072
0, 256, 1792, 10, 64, 18176, 100000000, 399500, 99600500, 0, 0.03508, 0.04808, 0.18104, 26.56, 0.21612, 8.92537, 552357952
0, 512, 1536, 10, 64, 15872, 100000000, 449800, 99550200, 0, 0.03799, 0.05862, 0.20550, 28.53, 0.24348, 8.90322, 486622752
0, 1024, 1024, 10, 64, 11264, 100000000, 612800, 99387200, 0, 0.10102, 0.06323, 0.29199, 21.66, 0.39300, 9.23710, 342480992
0, 1536, 512, 10, 64, 6656, 100000000, 997040, 99002960, 0, 0.13539, 0.05415, 0.48908, 11.07, 0.62447, 9.47081, 204464688
0, 2047, 1, 10, 64, 2057, 100000000, 3054480, 96945520, 3, 0.18601, 0.07998, 1.52118, 5.26, 1.70719, 10.43698, 65738440
0, 1, 2047, 10, 256, 20471, 100000000, 1281840, 98718160, 1, 0.02816, 0.17157, 0.17499, 98.05, 0.20316, 9.08809, 571451456
