zipfian_const, num_dpus, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}, send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], total_time, throughput
0.99, 2048, 10, 4, 20480, 50000000, 2349734, 47650266, 4, 2.25755, 0.20819, 23.46702, 0.887, 25.72457, 2130650
0.99, 2048, 10, 8, 20480, 50000000, 4704026, 45295974, 9, 1.94472, 0.25451, 20.37387, 1.249, 22.31858, 2454124
0.99, 2048, 10, 16, 20480, 50000000, 7657294, 42342706, 15, 1.61102, 0.31502, 16.41359, 1.919, 18.02460, 3046257
0.99, 2048, 10, 32, 20480, 50000000, 11500698, 38499302, 23, 1.23219, 0.59269, 10.30400, 5.752, 11.53618, 4852487
0.99, 2048, 10, 64, 20480, 50000000, 15520058, 34479942, 31, 1.01444, 0.90941, 5.27908, 17.227, 6.29351, 9471355
0.99, 2048, 10, 128, 20480, 50000000, 19551396, 30448604, 39, 0.73752, 1.45632, 2.66878, 54.569, 3.40631, 18735132
0.99, 2048, 10, 256, 20480, 50000000, 23581914, 26418086, 47, 0.43419, 1.69263, 1.69337, 99.956, 2.12756, 29526848
0.99, 2048, 10, 512, 20480, 50000000, 27606040, 22393960, 55, 0.23461, 1.92059, 1.92147, 99.954, 2.15608, 26021718
0.99, 2048, 10, 1024, 20480, 50000000, 31576302, 18423698, 63, 0.13231, 1.88375, 1.88451, 99.960, 2.01681, 26532108
