zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
1.2, 1, 2047, 10, 16, 20471, 100000000, 27996480, 72003520, 27, 1.31463, 0.44933, 33.35754, 1.35, 34.67217, 43.33329, 2997823
1.2, 16, 2032, 10, 16, 20336, 100000000, 28099780, 71900220, 28, 0.83520, 0.42908, 17.46361, 2.46, 18.29880, 26.96599, 5726194
1.2, 64, 1984, 10, 16, 19904, 100000000, 28435580, 71564420, 28, 0.34668, 0.48819, 5.80834, 8.41, 6.15503, 14.88717, 17216612
1.2, 256, 1792, 10, 16, 18176, 100000000, 29947160, 70052840, 29, 0.28676, 0.58074, 1.20313, 48.27, 1.48988, 10.32681, 83116672
1.2, 512, 1536, 10, 16, 15872, 100000000, 32310500, 67689500, 32, 0.27492, 0.57975, 0.58134, 99.73, 0.85626, 9.49131, 172017248
1.2, 1024, 1024, 10, 16, 11264, 100000000, 38269060, 61730940, 38, 0.34729, 0.81373, 0.81598, 99.72, 1.16327, 9.82491, 122552480
1.2, 1536, 512, 10, 16, 6656, 100000000, 46787460, 53212540, 46, 0.33748, 1.44084, 1.44289, 99.86, 1.78036, 10.42315, 69305448
1.2, 2047, 1, 10, 16, 2057, 100000000, 62622940, 37377060, 62, 0.17703, 5.50411, 5.50626, 99.96, 5.68329, 14.30521, 18161144
1.2, 1, 2047, 10, 32, 20471, 100000000, 39862100, 60137900, 39, 0.77612, 0.54783, 17.00203, 3.22, 17.77815, 26.51826, 5881651
1.2, 16, 2032, 10, 32, 20336, 100000000, 39961920, 60038080, 39, 0.55465, 0.60460, 11.35191, 5.33, 11.90656, 20.57867, 8809092
