
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0.6, 2500, 24, 0, 1000000, 14624, 0.56943, 1.66541, 2.23484, 0.00282, 0.06541, 0.24078, 2.54385, 393105
0.6, 2500, 24, 1, 1000000, 13020, 0.55282, 1.65790, 2.21072, 0.00579, 0.05948, 0.24193, 2.51792, 397153
0.6, 2500, 24, 2, 1000000, 11758, 0.57682, 1.66354, 2.24037, 0.00655, 0.05303, 0.24201, 2.54195, 393398
0.6, 2500, 24, 3, 1000000, 11400, 0.55343, 1.66215, 2.21557, 0.00653, 0.05203, 0.21697, 2.49110, 401430
0.6, 2500, 24, 4, 1000000, 10203, 0.54662, 1.67715, 2.22377, 0.00570, 0.04738, 0.22002, 2.49687, 400502
0.6, 2500, 24, 5, 1000000, 9814, 0.55516, 1.65785, 2.21300, 0.00295, 0.04283, 0.18260, 2.44138, 409604
0.6, 2500, 24, 6, 1000000, 9794, 0.54624, 1.66818, 2.21442, 0.00566, 0.04546, 0.16360, 2.42914, 411668
0.6, 2500, 24, 7, 1000000, 8702, 0.55665, 1.65534, 2.21199, 0.00353, 0.04093, 0.16116, 2.41760, 413633
0.6, 2500, 24, 8, 1000000, 8822, 0.54367, 1.66447, 2.20814, 0.00584, 0.04255, 0.16315, 2.41969, 413277
0.6, 2500, 24, 9, 1000000, 8670, 0.55277, 1.67142, 2.22419, 0.00361, 0.03857, 0.15922, 2.42559, 412270
0.6, 2500, 24, 10, 1000000, 8216, 0.54665, 1.66877, 2.21542, 0.00565, 0.03956, 0.14823, 2.40886, 415135
0.6, 2500, 24, 11, 1000000, 7870, 0.55498, 1.66278, 2.21777, 0.00632, 0.03711, 0.14757, 2.40877, 415150
0.6, 2500, 24, 12, 1000000, 7637, 0.54607, 1.66659, 2.21266, 0.00343, 0.03543, 0.14514, 2.39666, 417247
0.6, 2500, 24, 13, 1000000, 7502, 0.55494, 1.66928, 2.22422, 0.00491, 0.03558, 0.13800, 2.40272, 416196
0.6, 2500, 24, 14, 1000000, 7414, 0.54824, 1.65975, 2.20799, 0.00343, 0.03736, 0.13544, 2.38422, 419425
0.6, 2500, 24, 15, 1000000, 6931, 0.55384, 1.66547, 2.21931, 0.00575, 0.03391, 0.13134, 2.39031, 418355
0.6, 2500, 24, 16, 1000000, 6861, 0.54633, 1.65653, 2.20286, 0.00346, 0.03551, 0.13017, 2.37200, 421585
0.6, 2500, 24, 17, 1000000, 6746, 0.55177, 1.65157, 2.20334, 0.00640, 0.03220, 0.12412, 2.36606, 422644
0.6, 2500, 24, 18, 1000000, 6620, 0.54694, 1.66818, 2.21512, 0.00631, 0.03235, 0.12012, 2.37390, 421247
0.6, 2500, 24, 19, 1000000, 6485, 0.55472, 1.66951, 2.22424, 0.00582, 0.03207, 0.11141, 2.37353, 421313
0.6, 2500, 24, total, 20000000, 44.33994, 44.33994, 44.33994,0.10046,0.83875, 3.32298, 48.60213, 411505
