
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0.99, 2500, 24, 0, 1000000, 86304, 0.48332, 1.58618, 2.06950, 3.71972, 0.24108, 1.56951, 7.59982, 131582
0.99, 2500, 24, 1, 1000000, 76908, 0.48152, 1.58289, 2.06441, 0.18290, 0.23498, 1.40626, 3.88855, 257165
0.99, 2500, 24, 2, 1000000, 67376, 0.48417, 1.58891, 2.07308, 0.18735, 0.22588, 1.22556, 3.71187, 269406
0.99, 2500, 24, 3, 1000000, 57884, 0.48393, 1.58005, 2.06398, 0.18823, 0.20373, 1.05728, 3.51322, 284639
0.99, 2500, 24, 4, 1000000, 47882, 0.48649, 1.58837, 2.07487, 0.18158, 0.19178, 0.10643, 2.55466, 391442
0.99, 2500, 24, 5, 1000000, 38456, 0.48578, 1.58701, 2.07279, 0.18644, 0.15089, 0.09782, 2.50795, 398732
0.99, 2500, 24, 6, 1000000, 28768, 0.48279, 1.59435, 2.07714, 0.19290, 0.11609, 0.09586, 2.48200, 402901
0.99, 2500, 24, 7, 1000000, 19460, 0.48383, 1.59221, 2.07604, 0.19611, 0.08523, 0.09730, 2.45467, 407386
0.99, 2500, 24, 8, 1000000, 19403, 0.48892, 1.58296, 2.07189, 0.19114, 0.08067, 0.09500, 2.43870, 410055
0.99, 2500, 24, 9, 1000000, 19486, 0.48334, 1.59291, 2.07625, 0.19337, 0.08456, 0.09434, 2.44851, 408412
0.99, 2500, 24, 10, 1000000, 18990, 0.48430, 1.58701, 2.07131, 0.19176, 0.08338, 0.09625, 2.44271, 409382
0.99, 2500, 24, 11, 1000000, 19150, 0.48392, 1.59143, 2.07535, 0.19426, 0.08348, 0.09973, 2.45282, 407694
0.99, 2500, 24, 12, 1000000, 19464, 0.48444, 1.58279, 2.06723, 0.19486, 0.08265, 0.09744, 2.44218, 409469
0.99, 2500, 24, 13, 1000000, 19180, 0.48344, 1.59461, 2.07806, 0.19559, 0.08193, 0.09598, 2.45156, 407904
0.99, 2500, 24, 14, 1000000, 19269, 0.48334, 1.58507, 2.06841, 0.19685, 0.09007, 0.10268, 2.45801, 406833
0.99, 2500, 24, 15, 1000000, 19265, 0.48378, 1.59422, 2.07800, 0.20405, 0.08416, 0.09378, 2.45999, 406506
0.99, 2500, 24, 16, 1000000, 19181, 0.48980, 1.58231, 2.07211, 0.20619, 0.08633, 0.09390, 2.45854, 406746
0.99, 2500, 24, 17, 1000000, 19420, 0.48354, 1.58840, 2.07194, 0.20722, 0.08193, 0.09658, 2.45768, 406887
0.99, 2500, 24, 18, 1000000, 19209, 0.48365, 1.58045, 2.06409, 0.20836, 0.08064, 0.09482, 2.44791, 408511
0.99, 2500, 24, 19, 1000000, 19228, 0.48445, 1.60273, 2.08718, 0.20729, 0.08301, 0.09538, 2.47286, 404391
0.99, 2500, 24, total, 20000000, 41.45363, 41.45363, 41.45363,7.42617,2.45247, 6.81193, 58.14419, 343972
