
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, migration_num, preprocess_time1, preprocess_time2, migration_time, send_time, execution_time, recieve_result_time, merge_time, batch_time, throughput
0, 2500, 12, 1, 1000000, 787, 0.13854, 1.42446, 0.00017, 0.00007, 0.00727, 0.02219, 0.00366, 0.00226, 1.59863, 625535
0, 2500, 12, 2, 1000000, 580, 0.13502, 1.37093, 0.00024, 0.03545, 0.00564, 0.02073, 0.00234, 0.00172, 1.57208, 636100
0, 2500, 12, 3, 1000000, 517, 0.13310, 1.37453, 0.00022, 0.03494, 0.00547, 0.02146, 0.00233, 0.00173, 1.57377, 635415
0, 2500, 12, 4, 1000000, 524, 0.13272, 1.36730, 0.00022, 0.07367, 0.00550, 0.02313, 0.00236, 0.00175, 1.60666, 622410
0, 2500, 12, 5, 1000000, 547, 0.13312, 1.37435, 0.00023, 0.07813, 0.00567, 0.02523, 0.00231, 0.00169, 1.62072, 617008
0, 2500, 12, total, 5000000, 0.67250, 6.91158, 0.00108, 0.22226, 0.02955, 0.11274, 0.01300, 0.00915, 7.97187, 627205.68750, 0.00000, 0
