
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0.4, 2500, 24, 0, 1000000, 4867, 0.57442, 1.67712, 2.25154, 1.31378, 0.02594, 0.09021, 3.68147, 271631
0.4, 2500, 24, 1, 1000000, 4295, 0.56772, 1.70627, 2.27399, 0.14646, 0.02239, 0.07986, 2.52271, 396399
0.4, 2500, 24, 2, 1000000, 3740, 0.57303, 1.68276, 2.25579, 0.13167, 0.02083, 0.06947, 2.47775, 403592
0.4, 2500, 24, 3, 1000000, 3117, 0.57349, 1.69862, 2.27210, 0.12973, 0.01713, 0.05904, 2.47800, 403551
0.4, 2500, 24, 4, 1000000, 2654, 0.57098, 1.69085, 2.26183, 0.14024, 0.01605, 0.05057, 2.46869, 405073
0.4, 2500, 24, 5, 1000000, 2185, 0.56894, 1.68349, 2.25244, 0.13735, 0.01275, 0.04787, 2.45040, 408097
0.4, 2500, 24, 6, 1000000, 1514, 0.57245, 1.69200, 2.26445, 0.13189, 0.01009, 0.04457, 2.45100, 407997
0.4, 2500, 24, 7, 1000000, 1182, 0.56254, 1.67485, 2.23739, 0.14762, 0.00921, 0.02531, 2.41953, 413303
0.4, 2500, 24, 8, 1000000, 1133, 0.56349, 1.68203, 2.24553, 0.13926, 0.00715, 0.02264, 2.41458, 414151
0.4, 2500, 24, 9, 1000000, 1159, 0.56211, 1.67845, 2.24056, 0.13535, 0.00824, 0.02201, 2.40615, 415602
0.4, 2500, 24, 10, 1000000, 1052, 0.56311, 1.68126, 2.24437, 0.11661, 0.00757, 0.02052, 2.38908, 418571
0.4, 2500, 24, 11, 1000000, 1121, 0.56114, 1.68602, 2.24716, 0.13713, 0.00700, 0.02051, 2.41180, 414629
0.4, 2500, 24, 12, 1000000, 1045, 0.56384, 1.67692, 2.24076, 0.12766, 0.00707, 0.01956, 2.39505, 417529
0.4, 2500, 24, 13, 1000000, 1060, 0.56418, 1.68970, 2.25388, 0.12916, 0.00722, 0.02097, 2.41123, 414725
0.4, 2500, 24, 14, 1000000, 1075, 0.56293, 1.67811, 2.24104, 0.11840, 0.00685, 0.02151, 2.38779, 418796
0.4, 2500, 24, 15, 1000000, 1042, 0.56362, 1.68168, 2.24531, 0.14516, 0.00653, 0.02031, 2.41731, 413683
0.4, 2500, 24, 16, 1000000, 1087, 0.56137, 1.68621, 2.24758, 0.13011, 0.00681, 0.02034, 2.40484, 415828
0.4, 2500, 24, 17, 1000000, 1059, 0.56415, 1.69056, 2.25471, 0.13798, 0.00759, 0.02087, 2.42115, 413026
0.4, 2500, 24, 18, 1000000, 1070, 0.56956, 1.68541, 2.25498, 0.12128, 0.00735, 0.02058, 2.40419, 415941
0.4, 2500, 24, 19, 1000000, 1091, 0.56132, 1.68252, 2.24384, 0.13718, 0.00712, 0.01902, 2.40716, 415427
0.4, 2500, 24, total, 20000000, 45.02924, 45.02924, 45.02924,3.85402,0.22088, 0.71575, 49.81989, 401446
