
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0.6, 2500, 24, 0, 1000000, 14624, 0.54844, 1.66530, 2.21374, 3.63742, 0.06424, 0.12139, 6.03678, 165651
0.6, 2500, 24, 1, 1000000, 13020, 0.54428, 1.66906, 2.21335, 0.25969, 0.05555, 0.10905, 2.63764, 379127
0.6, 2500, 24, 2, 1000000, 11315, 0.54513, 1.67385, 2.21897, 0.27693, 0.04914, 0.06165, 2.60670, 383627
0.6, 2500, 24, 3, 1000000, 9719, 0.54600, 1.66155, 2.20755, 0.28381, 0.04359, 0.05191, 2.58685, 386570
0.6, 2500, 24, 4, 1000000, 7944, 0.54428, 1.66286, 2.20714, 0.27192, 0.03857, 0.04445, 2.56208, 390308
0.6, 2500, 24, 5, 1000000, 6470, 0.54430, 1.66383, 2.20813, 0.28044, 0.03216, 0.04008, 2.56081, 390502
0.6, 2500, 24, 6, 1000000, 4857, 0.54404, 1.66900, 2.21304, 0.27970, 0.02383, 0.03760, 2.55416, 391518
0.6, 2500, 24, 7, 1000000, 3257, 0.54342, 1.67305, 2.21646, 0.28803, 0.01871, 0.02626, 2.54947, 392238
0.6, 2500, 24, 8, 1000000, 3185, 0.54583, 1.65977, 2.20560, 0.30542, 0.01782, 0.02558, 2.55442, 391478
0.6, 2500, 24, 9, 1000000, 3264, 0.54375, 1.65725, 2.20100, 0.28862, 0.01867, 0.02530, 2.53359, 394697
0.6, 2500, 24, 10, 1000000, 3358, 0.54327, 1.66213, 2.20540, 0.28336, 0.01736, 0.02628, 2.53240, 394882
0.6, 2500, 24, 11, 1000000, 3199, 0.54295, 1.65441, 2.19736, 0.29623, 0.01736, 0.02695, 2.53789, 394028
0.6, 2500, 24, 12, 1000000, 3197, 0.54652, 1.65626, 2.20278, 0.28679, 0.01673, 0.02719, 2.53349, 394712
0.6, 2500, 24, 13, 1000000, 3322, 0.54313, 1.66361, 2.20674, 0.28762, 0.01685, 0.02533, 2.53654, 394238
0.6, 2500, 24, 14, 1000000, 3307, 0.54588, 1.66176, 2.20764, 0.30994, 0.01851, 0.02577, 2.56186, 390341
0.6, 2500, 24, 15, 1000000, 3335, 0.54461, 1.66921, 2.21382, 0.29568, 0.01860, 0.02438, 2.55248, 391775
0.6, 2500, 24, 16, 1000000, 3289, 0.54713, 1.67571, 2.22284, 0.30883, 0.01822, 0.02441, 2.57431, 388453
0.6, 2500, 24, 17, 1000000, 3213, 0.54764, 1.67215, 2.21980, 0.31422, 0.01820, 0.02495, 2.57717, 388022
0.6, 2500, 24, 18, 1000000, 3340, 0.54581, 1.66022, 2.20603, 0.31329, 0.01799, 0.02637, 2.56368, 390064
0.6, 2500, 24, 19, 1000000, 3282, 0.54679, 1.66338, 2.21017, 0.29461, 0.01776, 0.02540, 2.54793, 392475
0.6, 2500, 24, total, 20000000, 44.19757, 44.19757, 44.19757,9.16257,0.53986, 0.80028, 54.70027, 365629
