
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0, 2500, 24, 0, 1000000, 711, 0.58538, 1.70546, 2.29084, 0.64302, 0.00510, 0.01355, 2.95252, 338694
0, 2500, 24, 1, 1000000, 667, 0.58189, 1.70969, 2.29158, 0.05466, 0.00541, 0.01307, 2.36472, 422883
0, 2500, 24, 2, 1000000, 548, 0.58861, 1.70395, 2.29256, 0.06060, 0.00451, 0.01093, 2.36859, 422191
0, 2500, 24, 3, 1000000, 491, 0.58040, 1.70612, 2.28652, 0.08013, 0.00383, 0.01154, 2.38202, 419812
0, 2500, 24, 4, 1000000, 492, 0.57963, 1.70314, 2.28277, 0.05704, 0.00430, 0.01162, 2.35573, 424497
0, 2500, 24, 5, 1000000, 485, 0.58156, 1.70043, 2.28199, 0.09160, 0.00389, 0.01044, 2.38792, 418775
0, 2500, 24, 6, 1000000, 492, 0.58111, 1.70676, 2.28788, 0.04469, 0.00368, 0.01130, 2.34754, 425977
0, 2500, 24, 7, 1000000, 485, 0.58185, 1.68944, 2.27129, 0.08145, 0.00394, 0.01098, 2.36767, 422357
0, 2500, 24, 8, 1000000, 478, 0.57864, 1.69911, 2.27775, 0.05994, 0.00395, 0.01097, 2.35261, 425060
0, 2500, 24, 9, 1000000, 491, 0.57785, 1.70502, 2.28288, 0.06882, 0.00466, 0.01138, 2.36774, 422343
0, 2500, 24, 10, 1000000, 474, 0.58162, 1.69879, 2.28041, 0.06913, 0.00367, 0.01175, 2.36497, 422839
0, 2500, 24, 11, 1000000, 491, 0.57939, 1.69486, 2.27426, 0.08179, 0.00379, 0.01151, 2.37134, 421702
0, 2500, 24, 12, 1000000, 467, 0.57995, 1.70593, 2.28588, 0.06860, 0.00398, 0.01062, 2.36908, 422104
0, 2500, 24, 13, 1000000, 476, 0.58310, 1.71045, 2.29355, 0.06332, 0.00372, 0.01052, 2.37111, 421744
0, 2500, 24, 14, 1000000, 467, 0.57982, 1.70029, 2.28011, 0.06228, 0.00394, 0.01123, 2.35756, 424166
0, 2500, 24, 15, 1000000, 485, 0.58301, 1.70776, 2.29076, 0.07401, 0.00393, 0.01111, 2.37981, 420202
0, 2500, 24, 16, 1000000, 462, 0.58084, 1.69926, 2.28010, 0.06785, 0.00366, 0.01197, 2.36359, 423086
0, 2500, 24, 17, 1000000, 460, 0.57808, 1.72062, 2.29870, 0.08808, 0.00403, 0.01118, 2.40199, 416321
0, 2500, 24, 18, 1000000, 481, 0.58097, 1.70708, 2.28804, 0.06198, 0.00367, 0.01143, 2.36513, 422810
0, 2500, 24, 19, 1000000, 469, 0.57928, 1.71252, 2.29180, 0.06144, 0.00358, 0.01092, 2.36774, 422344
0, 2500, 24, total, 20000000, 45.70967, 45.70967, 45.70967,1.94044,0.08124, 0.22804, 47.95939, 417020
