num of tasklets, total_num_requests[s], time_sendrequests[s], time_dpu_execution[s], total_time[s], throughput[OPS/s]
12, 2399973402, 2.78709197, 5.31630993, 8.10340118, 296168640
12, 2399973402, 2.78782320, 5.31579304, 8.10361576, 296160800
12, 2399973402, 2.79880810, 5.31575918, 8.11456680, 295761120
12, 2399973402, 2.78491712, 5.31568003, 8.10059738, 296271168
12, 2399973402, 2.80443907, 5.31571770, 8.12015724, 295557504
12, 2399973402, 2.81377220, 5.31573105, 8.12950325, 295217728
12, 2399973402, 2.80724287, 5.31677485, 8.12401867, 295417024
12, 2399973402, 2.77597809, 5.31574965, 8.09172821, 296595904
12, 2399973402, 2.77814484, 5.31713724, 8.09528160, 296465696
12, 2399973402, 2.77662706, 5.31565285, 8.09228039, 296575648
12, 2399973402, 2.78384495, 5.31578302, 8.09962749, 296306624
12, 2399973402, 2.78181696, 5.31555605, 8.09737206, 296389184
12, 2399973402, 2.80277705, 5.31624174, 8.11901855, 295598944
12, 2399973402, 2.76757193, 5.31559467, 8.08316708, 296910016
12, 2399973402, 2.83050227, 5.31575108, 8.14625263, 294610720
12, 2399973402, 2.79425597, 5.31567907, 8.10993481, 295930048
12, 2399973402, 2.78752398, 5.31557131, 8.10309505, 296179840
12, 2399973402, 2.79056406, 5.31622171, 8.10678673, 296044960
12, 2399973402, 2.80269194, 5.31580830, 8.11850071, 295617792
12, 2399973402, 2.79732895, 5.31577492, 8.11310387, 295814464
12, 2399973402, 2.79611492, 5.31583309, 8.11194801, 295856608
12, 2399973402, 2.79898787, 5.31597710, 8.11496544, 295746592
12, 2399973402, 2.79372692, 5.31564808, 8.10937500, 295950464
12, 2399973402, 2.79370117, 5.31613207, 8.10983276, 295933760
12, 2399973402, 2.77038097, 5.31562376, 8.08600521, 296805824
12, 2399973402, 2.78250885, 5.31572104, 8.09822941, 296357792
12, 2399973402, 2.82085800, 5.31616116, 8.13701820, 294945056
12, 2399973402, 2.77368689, 5.31548309, 8.08917046, 296689664
12, 2399973402, 2.77966714, 5.31558084, 8.09524822, 296466944
