zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, recieve_result_time, merge_time, batch_time, throughput
0.99, 2500, 12, 1, 100000, 11381, 0.03926, 0.04966, 0.00097, 0.00027, 0.09324, 0.18670, 0.32229, 0.00000, 0.69237, 144430
0.99, 2500, 12, 2, 100000, 7658, 0.03932, 0.06372, 0.00101, 0.23136, 0.06458, 0.12587, 0.02444, 0.00000, 0.55031, 181716
0.99, 2500, 12, 3, 100000, 3791, 0.03929, 0.06477, 0.00101, 0.23154, 0.02989, 0.06785, 0.01403, 0.00000, 0.44839, 223019
0.99, 2500, 12, 4, 100000, 3862, 0.03898, 0.04989, 0.00102, 0.22872, 0.02895, 0.06873, 0.01453, 0.00000, 0.43082, 232118
0.99, 2500, 12, 5, 100000, 3800, 0.03903, 0.06444, 0.00102, 0.23108, 0.03007, 0.06792, 0.01581, 0.00000, 0.44935, 222542
0.99, 2500, 12, 6, 100000, 3883, 0.05305, 0.06293, 0.00101, 0.22938, 0.03060, 0.06939, 0.01467, 0.00000, 0.46103, 216905
0.99, 2500, 12, 7, 100000, 3960, 0.05194, 0.06404, 0.00102, 0.23202, 0.03127, 0.07035, 0.01488, 0.00000, 0.46552, 214814
0.99, 2500, 12, 8, 100000, 3847, 0.03902, 0.06287, 0.00101, 0.23175, 0.03135, 0.06894, 0.01488, 0.00000, 0.44982, 222310
0.99, 2500, 12, 9, 100000, 3868, 0.03899, 0.06611, 0.00102, 0.22882, 0.03074, 0.06912, 0.01429, 0.00000, 0.44910, 222669
0.99, 2500, 12, 10, 100000, 3871, 0.03887, 0.05000, 0.00101, 0.23127, 0.03216, 0.06956, 0.01539, 0.00000, 0.43825, 228179
0.99, 2500, 12, total, 1000000,, 0.41775, 0.59844, 0.01009, 2.07621, 0.40284, 0.86444, 0.46521, 0.00000, 4.83497, 206826.42188
